931,Linux popoldne,,2010-09-14 18:00:00+02,1
810,Delavnica PCB,,2009-12-03 23:10:00+01,3
1389,Ogled španskih filmov,16,2011-05-13 19:30:00+02,16
1568,Plaga Zombie (1997),9,2012-04-19 20:00:00+02,4
1578,Ubuntu 12.04 splavitvena zabava,17,2012-04-26 19:00:00+02,16
1917,Razglasitev zmagovalnih filmov natečaja za najboljši kratek film,52,2013-06-13 20:00:00+02,52
1952,Varnost VoIP komunikacij,0,2013-11-15 18:00:00+01,57
1767,sestanek programske ekipe,0,2013-01-14 18:30:00+01,8
1755,sestanek pipinih knjižničarjev,0,2013-01-09 20:30:00+01,24
1876,Protestno gibanje in internet,0,2013-04-18 16:00:00+02,54
571,Skalabilnost spletnih aplikacij,35,2008-04-09 19:00:00+02,6
116,HAIP06,0,2006-10-17 00:00:00+02,15
1899,Večer s Terezo Adámkovo 2,25,2013-04-25 20:30:00+02,52
1550,"Komentar starcraft2.si turnirja, v živo iz Kiberpipe",10,2012-03-28 20:00:00+02,16
1768,Sestanek Zavoda,0,2013-01-16 12:00:00+01,16
1889,#227: Privatizacija interneta,26,2013-04-17 18:30:00+02,6
1953,Rešitve za zaščito mobilnih komunikacij,0,2013-12-13 18:00:00+01,57
1879,"[odpade] najem - okrogla miza, oddelek za socialo in zdravstvo ŠOU v LJubljani",0,2013-04-11 16:30:00+02,21
1901,Upor estetizaciji upora,0,2013-04-30 19:00:00+02,52
1874,Ženske in internet,5,2013-04-15 18:30:00+02,54
1758,Sestanek Zavoda,0,2013-01-11 10:00:00+01,16
36,Potopisno predavanje Uganda,0,2006-03-10 20:00:00+01,11
573,Optimizacija baz podatkov – konkretno PostgreSQL (Primož Bratanič),13,2008-04-15 19:00:00+02,1
16,Delavnica OpenOffice.org II,0,2006-03-13 17:00:00+01,3
1584,Glen or Glenda (1953),9,2012-05-17 20:00:00+02,4
1336,Brain that wouldn't die,16,2011-02-03 20:00:00+01,4
890,Delavnica postavitev spletnih strani,,2010-05-04 14:00:00+02,31
1954,Talk: Design Driven Development ,0,2013-10-23 18:00:00+02,6
1902,Delavnica STROJNA OPREMA v Kiberpipi,10,2013-05-18 11:00:00+02,55
1832,Kreativna šola,0,2013-05-09 09:00:00+02,16
1776,"Veseljko Tomić, bioenergetik in kiropraktik",22,2013-03-07 19:00:00+01,49
1890,projekt TEDxFDV,0,2013-04-23 17:00:00+02,16
1831,Najem: BEST Ljubljana,11,2013-03-12 17:30:00+01,16
1827,najem učilnice: Wikipedija Slovenija,7,2013-03-12 18:00:00+01,16
1585,Intervju z glasnikom digitalnih tehnologij,0,2012-05-23 13:00:00+02,16
27,Delavnica OpenOffice.org III,0,2006-03-20 17:00:00+01,3
1769,Uporaba kinodvorane K4,0,2013-01-16 10:00:00+01,16
955,ŠOUvizija sestanek,,2010-10-11 19:00:00+02,31
1347,Učenje in izobraževanje v dobi Web 2.0,17,2011-03-08 19:00:00+01,1
1361,FREAKS (1932),8,2011-04-07 20:00:00+02,4
1316,Pogovarjajmo se - Univerzalni temeljni dohodek,32,2011-01-10 19:00:00+01,16
1589,9. srečanje Drupal razvijalcev,0,2012-06-07 19:00:00+02,16
291,"IBM System/390, Grega Bremec",,2007-02-13 19:00:00+01,1
1833,Pravna pisarna FSFE,0,2013-03-13 09:00:00+01,8
1891,projekt TEDxFDV,0,2013-05-09 16:30:00+02,16
1496,433 MHz in tcpdump: wireless sniffing malo drugače,28,2012-01-10 19:00:00+01,1
1770,brodul mentor sestanek,0,2013-01-18 19:00:00+01,18
17,Delavnica OpenOffice.org IV,0,2006-03-27 17:00:00+02,3
1225,HAIP,0,2010-11-28 15:00:00+01,15
1830,Pravna pisarna FSFE,5,2013-03-06 09:00:00+01,8
545,CAFE BABE v Kiberpipi,35,2008-03-13 18:00:00+01,18
772,Kako uničiti svojo spletno skupnost?,,2009-09-30 19:00:00+02,6
1892,projekt TEDxFDV,0,2013-05-16 16:30:00+02,16
100,CTD: Rog - smo začasni... (2006) /Cocobello instalacija v Argentinskem parku,0,2006-06-26 18:00:00+02,4
717,Mix09 in SXSW09,27,2009-03-25 19:00:00+01,6
1502,Piano - Is it the End of Free (Internet) Lunch?,32,2012-01-23 18:00:00+01,1
661,Hladna vojna in bitka za informacijsko tehnologijo,15,2008-12-02 19:00:00+01,1
319,"G404 - Vladimir Mićković: Analogne sanje, otvoritev razstave",,2007-05-17 20:00:00+02,12
584,Gaming konferenca,30,2008-06-10 18:00:00+02,16
321,ŠOU v Kinodvorani,,2007-02-21 16:00:00+01,16
435,Kako izdelati PCB,,2007-10-24 17:00:00+02,3
455,Kiberpipa na Dnevu odprtih vrat na FRI,,2007-12-05 11:00:00+01,17
439,Kiberpipa na Študentski areni,,2007-10-16 12:00:00+02,11
440,Kiberpipa na Študentski areni,,2007-10-17 12:00:00+02,11
726,Luka Prinčič: CROSS/HIBRID,5,2009-05-28 21:00:00+02,5
377,OdprtiKop (Andraž Tori),60,2007-05-23 19:00:00+02,6
974,Ogled španskih filmov,,2010-11-05 20:00:00+01,16
281,ŠOU v Kinodvorani,,2007-01-15 16:00:00+01,16
812,Reflet,,2009-12-09 20:30:00+01,5
392,Sestanek comis,,2007-06-07 17:00:00+02,11
408,Pogled nad mesto,,2007-11-01 21:00:00+01,16
1834,Kiberknjižnica,0,2013-03-13 17:00:00+01,17
320,ŠOU v Kinodvorani,,2007-02-20 16:00:00+01,16
851,Španski filmi,11,2010-03-26 19:00:00+01,16
414,Pogled nad mesto,,2008-01-24 21:00:00+01,16
757,Wii Spray (FRI+ALUO),,2009-04-17 15:00:00+02,16
1552,Ogled španskih filmov,0,2012-03-23 18:00:00+01,16
935,Pogovarjajmo se - Fahrenheit 451 (Bradbury),,2010-09-20 19:00:00+02,16
389,ZPŠD,,2007-05-22 20:30:00+02,11
1893,Kreativna šola,0,2013-05-16 09:00:00+02,16
311,ŠOU v kinodvorani,,2007-02-13 16:00:00+01,16
1541,"/ETC: Okrogla miza ""Trajnostni izobraževalni medijski laboratoriji, ki so varni za ženske""",35,2012-03-10 18:00:00+01,8
381,"Nedine Kachornnamsong: MicrocosmoZ, inštalacija",,2007-06-05 20:00:00+02,5
1475,Seja ŠOU,25,2011-11-28 16:00:00+01,31
764,Španski filmi,,2009-05-16 15:00:00+02,16
1490,Eclectic Tech Carnival ,0,2012-03-05 00:00:00+01,8
1495,Bridging the Gap: pogovor dr. ŠPELE PETRIČ s prof. dr. ZLATO LUTHAR in MAJO SMREKAR,0,2012-01-12 18:00:00+01,16
917,Španski filmi,,2010-06-11 19:00:00+02,16
1516,A Boy and His Dog (1975),8,2012-02-16 20:00:00+01,4
46,"Nekaj vzorčnih primerov z mize varnostnega centra SI-CERT, Gorazd Božič",0,2006-04-11 19:00:00+02,1
9,"A Hacker Manifesto, McKenzie Wark",0,2006-03-21 19:00:00+01,1
359,AIESEC,,2007-04-04 18:00:00+02,16
1549,Dünyayi Kurtaran Adam aka. Turkish Star Wars (1982),7,2012-03-15 19:30:00+01,4
1535,/ETC: Koerperspule (Telesna tuljava) delavnica (1. del),6,2012-03-07 15:00:00+01,8
1536,/ETC: Koerperspule (Telesna tuljava) delavnica (2 del),12,2012-03-08 15:00:00+01,8
450,10 priporočil uporabniške zasnove za splet (David Rozman / Parsek),23,2007-11-21 19:00:00+01,6
809,#128: Drupal! Zakaj bi kdo sploh še uporabljal lastni CMS?,36,2009-12-02 19:00:00+01,6
944,#153: Čiščenje divjih internetov,,2010-10-06 19:00:00+02,6
958,#154: Od bloga do Zakintosa,,2010-10-13 19:00:00+02,6
524,Free for all LAN party,6,2008-03-27 18:00:00+01,17
1270,odpade,0,2011-04-27 19:00:00+02,16
590,Srečanje ljubiteljev Jabolk,,2008-06-09 18:00:00+02,16
1509,They Made Me a Criminal (1939),9,2012-02-02 20:00:00+01,4
422,Pogled nad mesto,,2008-05-15 21:00:00+02,16
960,#155: Spletna analitika: kako in zakaj je uporabiti?,,2010-10-20 19:00:00+02,6
978,#156: Glasba in krasni novi splet,,2010-11-03 19:00:00+01,6
1212,"#157: GIS Cloud: ""Google Dokumenti"" zemljevidov",,2010-11-10 19:00:00+01,6
1215,"#158: Website Flipping – prodaja spletnih projektov, strani in domen",50,2010-11-17 19:00:00+01,6
